0.09	0.25	-0.42		0.08994	0.26836
0.09	0.25	-0.44			
0.1	0.26	-0.44		0.03047288	0.025898077
0.1	0.26	-0.41			
0.1	0.27	-0.42			
0.09	0.26	-0.43			
0.1	0.28	-0.45			
0.12	0.28	-0.46			
0.13	0.28	-0.45			
0.12	0.26	-0.45			
0.12	0.26	-0.45			
0.12	0.27	-0.45			
0.13	0.28	-0.46			
0.14	0.26	-0.45			
0.14	0.28	-0.45			
0.12	0.28	-0.45			
0.11	0.26	-0.45			
0.12	0.27	-0.45			
0.11	0.26	-0.43			
0.12	0.26	-0.45			
0.12	0.26	-0.46			
0.12	0.26	-0.46			
0.13	0.26	-0.43			
0.13	0.25	-0.41			
0.14	0.26	-0.42			
0.12	0.26	-0.42			
0.11	0.27	-0.43			
0.09	0.27	-0.42			
0.1	0.28	-0.42			
0.12	0.28	-0.42			
0.1	0.27	-0.43			
0.11	0.27	-0.42			
0.11	0.27	-0.43			
0.12	0.28	-0.43			
0.13	0.29	-0.42			
0.11	0.29	-0.41			
0.09	0.28	-0.4			
0.08	0.29	-0.4			
0.09	0.3	-0.41			
0.11	0.29	-0.41			
0.1	0.27	-0.42			
0.1	0.26	-0.42			
0.11	0.26	-0.43			
0.12	0.27	-0.43			
0.13	0.28	-0.42			
0.12	0.27	-0.42			
0.1	0.25	-0.43			
0.1	0.25	-0.43			
0.11	0.25	-0.45			
0.12	0.24	-0.44			
0.12	0.26	-0.44			
0.11	0.27	-0.43			
0.12	0.26	-0.43			
0.1	0.25	-0.45			
0.12	0.25	-0.45			
0.12	0.25	-0.45			
0.1	0.25	-0.45			
0.1	0.26	-0.45			
0.1	0.25	-0.45			
0.11	0.27	-0.45			
0.12	0.26	-0.44			
0.12	0.25	-0.44			
0.12	0.26	-0.45			
0.12	0.26	-0.45			
0.13	0.27	-0.45			
0.11	0.26	-0.43			
0.11	0.25	-0.44			
0.11	0.26	-0.45			
0.13	0.26	-0.45			
0.14	0.26	-0.45			
0.13	0.26	-0.45			
0.14	0.27	-0.43			
0.12	0.26	-0.44			
0.12	0.27	-0.46			
0.12	0.27	-0.44			
0.12	0.28	-0.43			
0.1	0.27	-0.44			
0.11	0.26	-0.42			
0.11	0.26	-0.41			
0.13	0.27	-0.43			
0.13	0.27	-0.43			
0.13	0.27	-0.45			
0.12	0.25	-0.44			
0.13	0.26	-0.44			
0.14	0.26	-0.44			
0.14	0.27	-0.44			
0.14	0.29	-0.46			
0.12	0.29	-0.46			
0.13	0.27	-0.44			
0.13	0.27	-0.45			
0.13	0.26	-0.44			
0.14	0.25	-0.46			
0.13	0.26	-0.45			
0.14	0.25	-0.45			
0.14	0.26	-0.45			
0.16	0.24	-0.45			
0.15	0.26	-0.46			
0.15	0.26	-0.45			
0.13	0.32	-0.32			
0.12	0.31	-0.35			
0.12	0.29	-0.37			
0.11	0.29	-0.39			
0.12	0.29	-0.4			
0.11	0.28	-0.41			
0.11	0.28	-0.42			
0.1	0.27	-0.41			
0.12	0.27	-0.41			
0.12	0.28	-0.41			
0.12	0.28	-0.41			
0.13	0.27	-0.42			
0.12	0.27	-0.43			
0.12	0.26	-0.42			
0.13	0.26	-0.42			
0.13	0.27	-0.42			
0.14	0.25	-0.41			
0.14	0.26	-0.41			
0.15	0.27	-0.42			
0.12	0.26	-0.42			
0.11	0.26	-0.42			
0.09	0.26	-0.42			
0.09	0.25	-0.44			
0.1	0.25	-0.42			
0.12	0.24	-0.42			
0.1	0.25	-0.42			
0.12	0.24	-0.42			
0.13	0.25	-0.44			
0.15	0.26	-0.45			
0.13	0.27	-0.45			
0.13	0.27	-0.45			
0.14	0.28	-0.47			
0.14	0.27	-0.45			
0.13	0.26	-0.44			
0.13	0.26	-0.41			
0.12	0.27	-0.41			
0.12	0.26	-0.42			
0.13	0.27	-0.44			
0.13	0.28	-0.44			
0.13	0.29	-0.44			
0.14	0.29	-0.43			
0.14	0.27	-0.44			
0.12	0.27	-0.44			
0.13	0.27	-0.43			
0.12	0.27	-0.43			
0.12	0.28	-0.44			
0.12	0.27	-0.43			
0.12	0.27	-0.44			
0.13	0.27	-0.46			
0.13	0.27	-0.44			
0.12	0.27	-0.45			
