0.88	0.25	-0.13		0.190680681	0.551131131
0.87	0.24	-0.19
0.86	0.23	-0.24		0.017442516	0.012408698
0.86	0.22	-0.25
0.85	0.21	-0.3
0.85	0.21	-0.32
0.84	0.27	-0.12
0.84	0.25	-0.18
0.84	0.23	-0.21
0.84	0.22	-0.25
0.84	0.22	-0.28
0.85	0.21	-0.29
0.85	0.21	-0.3
0.87	0.2	-0.29
0.86	0.21	-0.32
0.85	0.21	-0.34
0.87	0.2	-0.32
0.87	0.26	-0.14
0.87	0.24	-0.19
0.87	0.23	-0.24
0.88	0.22	-0.25
0.87	0.21	-0.29
0.86	0.2	-0.31
0.85	0.19	-0.31
0.85	0.2	-0.33
0.85	0.24	-0.15
0.85	0.24	-0.2
0.84	0.22	-0.25
0.84	0.23	-0.28
0.85	0.21	-0.29
0.85	0.21	-0.31
0.85	0.27	-0.13
0.85	0.26	-0.2
0.87	0.24	-0.18
0.88	0.22	-0.24
0.87	0.23	-0.28
0.87	0.22	-0.28
0.86	0.22	-0.3
0.85	0.2	-0.3
0.86	0.2	-0.27
0.85	0.19	-0.3
0.85	0.19	-0.3
0.85	0.25	-0.12
0.85	0.23	-0.19
0.85	0.23	-0.23
0.84	0.23	-0.28
0.84	0.23	-0.29
0.84	0.23	-0.31
0.84	0.21	-0.33
0.84	0.21	-0.35
0.84	0.21	-0.36
0.84	0.21	-0.37
0.84	0.23	-0.38
0.84	0.21	-0.36
0.86	0.2	-0.36
0.85	0.21	-0.38
0.85	0.2	-0.34
0.85	0.2	-0.32
0.85	0.21	-0.35
0.86	0.19	-0.31
0.86	0.23	-0.12
0.85	0.23	-0.21
0.87	0.22	-0.24
0.88	0.21	-0.24
0.87	0.2	-0.26
0.89	0.18	-0.24
0.88	0.19	-0.26
0.87	0.19	-0.28
0.86	0.2	-0.3
0.86	0.21	-0.32
0.86	0.21	-0.33
0.85	0.21	-0.32
0.87	0.19	-0.29
0.87	0.2	-0.33
0.86	0.19	-0.32
0.86	0.24	-0.13
0.85	0.24	-0.22
0.85	0.24	-0.26
0.85	0.23	-0.27
0.85	0.22	-0.27
0.85	0.22	-0.28
0.85	0.22	-0.28
0.85	0.21	-0.3
0.87	0.18	-0.35
0.86	0.2	-0.36
0.87	0.18	-0.35
0.89	0.18	-0.29
0.88	0.18	-0.31
0.87	0.19	-0.33
0.88	0.19	-0.33
0.87	0.26	-0.14
0.86	0.24	-0.19
0.85	0.24	-0.23
0.85	0.23	-0.26
0.86	0.22	-0.27
0.87	0.21	-0.29
0.88	0.17	-0.33
0.87	0.17	-0.33
0.87	0.23	-0.15
0.86	0.23	-0.21
0.86	0.22	-0.24
0.86	0.21	-0.25
0.86	0.2	-0.26
0.85	0.21	-0.29
0.85	0.2	-0.32
0.85	0.2	-0.31
0.85	0.2	-0.31
0.85	0.19	-0.31
0.87	0.18	-0.26
0.87	0.16	-0.31
0.84	0.24	-0.16
0.84	0.23	-0.24
0.84	0.22	-0.25
0.86	0.2	-0.22
0.88	0.18	-0.21
0.87	0.23	-0.05
0.87	0.23	-0.13
0.86	0.23	-0.19
0.86	0.23	-0.23
0.86	0.22	-0.25
0.88	0.2	-0.26
0.87	0.2	-0.28
0.86	0.25	-0.1
0.86	0.24	-0.16
0.85	0.22	-0.22
0.87	0.22	-0.24
0.86	0.21	-0.26
0.88	0.2	-0.27
0.88	0.2	-0.29
0.87	0.2	-0.33
0.87	0.19	-0.33
0.86	0.17	-0.32
0.87	0.18	-0.33
0.86	0.18	-0.32
0.85	0.18	-0.32
0.85	0.18	-0.3
0.85	0.19	-0.31
0.85	0.2	-0.33
0.87	0.19	-0.33
0.86	0.2	-0.33
0.86	0.2	-0.31
0.87	0.19	-0.31
0.88	0.2	-0.31
0.87	0.2	-0.32
0.89	0.19	-0.31
0.87	0.19	-0.32
0.87	0.19	-0.32
0.86	0.18	-0.32
0.88	0.18	-0.27
0.87	0.19	-0.28
0.86	0.19	-0.31
0.85	0.21	-0.32
0.85	0.2	-0.31
0.87	0.19	-0.3
0.86	0.25	-0.11
0.86	0.24	-0.17
0.87	0.21	-0.18
0.86	0.21	-0.23
0.86	0.21	-0.27
0.85	0.2	-0.3
0.86	0.2	-0.32
0.85	0.19	-0.33
0.85	0.19	-0.34
0.85	0.2	-0.34
0.84	0.2	-0.35
0.84	0.2	-0.35
0.84	0.2	-0.34
0.85	0.2	-0.35
0.86	0.18	-0.31
0.88	0.25	-0.1
0.87	0.23	-0.18
0.88	0.22	-0.22
0.88	0.2	-0.24
0.86	0.26	-0.07
0.86	0.25	-0.14
0.85	0.26	-0.21
0.85	0.26	-0.26
0.84	0.24	-0.28
0.86	0.22	-0.26
0.88	0.19	-0.23
0.88	0.19	-0.29
0.88	0.18	-0.27
0.89	0.17	-0.27
0.88	0.18	-0.28
0.87	0.19	-0.32
0.86	0.19	-0.33
0.86	0.25	-0.16
0.85	0.24	-0.24
0.84	0.23	-0.26
0.84	0.23	-0.29
0.84	0.22	-0.31
0.85	0.21	-0.3
0.85	0.22	-0.32
0.85	0.2	-0.31
0.85	0.26	-0.14
0.85	0.24	-0.18
0.86	0.22	-0.21
0.86	0.22	-0.25
0.86	0.2	-0.23
0.86	0.21	-0.25
0.88	0.2	-0.25
0.89	0.19	-0.24
0.88	0.18	-0.26
0.87	0.2	-0.29
0.87	0.2	-0.31
0.86	0.22	-0.34
0.85	0.28	-0.15
0.87	0.25	-0.15
0.86	0.25	-0.21
0.87	0.24	-0.25
0.87	0.23	-0.29
0.86	0.21	-0.29
0.86	0.2	-0.32
0.87	0.19	-0.27
0.87	0.18	-0.27
0.86	0.2	-0.31
0.86	0.2	-0.31
0.85	0.25	-0.11
0.85	0.23	-0.19
0.85	0.22	-0.22
0.87	0.18	-0.28
0.86	0.2	-0.32
0.86	0.19	-0.33
0.86	0.19	-0.33
0.85	0.2	-0.32
0.85	0.2	-0.34
0.85	0.26	-0.15
0.85	0.25	-0.19
0.87	0.21	-0.26
0.89	0.2	-0.27
0.89	0.21	-0.26
0.87	0.26	-0.08
0.89	0.24	-0.09
0.87	0.29	0.04
0.87	0.25	-0.03
0.87	0.24	-0.11
0.86	0.28	0
0.86	0.3	0.1
0.86	0.29	-0.03
0.85	0.27	-0.11
0.85	0.25	-0.16
0.85	0.25	-0.23
0.87	0.23	-0.23
0.91	0.3	0.11
0.95	0.27	0.02
0.99	0.28	0.12
1.03	0.27	0.02
1.07	0.27	0.13
1.13	0.24	0.02
1.18	0.21	-0.07
1.22	0.21	-0.14
1.25	0.24	-0.23
1.28	0.27	-0.29
1.31	0.28	-0.33
1.36	0.3	-0.14
1.41	0.27	-0.21
1.45	0.35	-0.05
1.46	0.43	0.09
1.5	0.48	0.17
1.53	0.56	0.28
1.56	0.7	0.05
1.58	0.68	-0.07
1.55	0.74	-0.17
1.53	0.76	-0.22
1.53	0.71	-0.06
1.54	0.68	0.04
1.57	0.69	0.13
1.54	0.78	-0.02
1.53	0.83	-0.04
1.51	0.87	-0.08
1.49	0.92	-0.16
1.48	0.9	-0.04
1.45	0.95	-0.13
1.39	1.06	-0.19
1.34	1.09	-0.18
1.28	1.17	-0.19
1.22	1.21	-0.26
